PMID	Abstract	ArticleTitle	PubDate	PubMonth	Author	KeyWords	MeSH	Journals	Affiliations	FundingSources	Location	Email
34028514	Over the last few decades, the world has witnessed multiple viral pandemics, the current severe acute respiratory syndrome-related coronavirus 2 (SARS-CoV-2) pandemic being the worst and most devastating one, claiming millions of lives worldwide. Physicians, scientists, and engineers worldwide have joined hands in dealing with the current situation at an impressive speed and efficiency. One of the major reasons for the delay in response is our limited understanding of the mechanism of action and individual effects of the virus on different tissues and organs. Advances in 3D bioprinting have opened up a whole new area to explore and utilize the technology in fabricating models of these tissues and organs, recapitulating in vivo environment. These biomimetic models can not only be utilized in learning the infection pathways and drug toxicology studies but also minimize the need for animal models and shorten the time span for human clinical trials. The current review aims to integrate the existing developments in bioprinting techniques, and their implementation to develop tissue models, which has implications for SARS-CoV-2 infection. Future translation of these models has also been discussed with respect to the pandemic.	3D Bioprinting for fabrication of tissue models of COVID-19 infection.	2021	Aug	Kabir Anisha;Datta Pallab;Oh Julia;Williams Adam;Ozbolat Veli;Unutmaz Derya;T Ozbolat Ibrahim	Coronavirus;bioprinting;microfluidics;tissue models	Angiotensin-Converting Enzyme 2;Animals;Biomimetics;Bioprinting;Biotechnology;COVID-19;Extracellular Matrix;Genetic Engineering;Humans;Immune System;Lung;Models, Biological;Printing, Three-Dimensional;SARS-CoV-2	Essays in biochemistry	Centre for Healthcare Science and Technology, Indian Institute of Engineering Science and Technology (IIEST) Shibpur, Howrah, West Bengal, India.;Department of Pharmaceutics, National Institute of Pharmaceutical Education and Research (NIPER) Kolkata, West Bengal, India.;Jackson Laboratory for Genomic Medicine and University of Connecticut School of Medicine, Farmington, CT, U.S.A.;Jackson Laboratory for Genomic Medicine and University of Connecticut School of Medicine, Farmington, CT, U.S.A.;Department of Mechanical Engineering, Ceyhan Engineering Faculty, Cukurova University, Adana, Turkey.;Jackson Laboratory for Genomic Medicine and University of Connecticut School of Medicine, Farmington, CT, U.S.A.;The Huck Institutes of The Life Sciences, Penn State University, University Park, PA, U.S.A.;Engineering Science and Mechanics Department, Penn State University, University Park, PA, U.S.A.;Biomedical Engineering Department, Penn State University, University Park, Hershey, PA, U.S.A.;Materials Research Institute, Penn State University, University Park, Hershey, PA, U.S.A.;Department of Neurosurgery, Penn State University, Hershey, PA, U.S.A.		Engineering Science and Mechanics Department, Penn State University, India;Cukurova University, Adana, India;Jackson Laboratory for Genomic Medicine and University of Connecticut School of Medicine, Farmington, India;Department of Mechanical Engineering, Ceyhan Engineering Faculty, India;University Park, PA, India;Centre for Healthcare Science and Technology, Indian Institute of Engineering Science and Technology, India;Department of Neurosurgery, Penn State University, India;The Huck Institutes of The Life Sciences, Penn State University, India;Hershey, PA, India;Department of Pharmaceutics, National Institute of Pharmaceutical Education and Research, India;Kolkata, West Bengal, India;CT, U, India;West Bengal, India, India;University Park, Hershey, India;Shibpur, Howrah, India;Materials Research Institute, Penn State University, India;PA, U, India;Biomedical Engineering Department, Penn State University, India	
34026444	Three-dimensional (3D) bioprinting is an emerging, groundbreaking strategy in tissue engineering, allowing the fabrication of living constructs with an unprecedented degree of complexity and accuracy. While this technique greatly facilitates the structuring of native tissue-like architectures, many challenges still remain to be faced. In this review, the fruits of recent research that demonstrate how advanced bioprinting technologies, together with inspiring creativity, can be used to address these challenges are presented and discussed. Next, the future of the field is discussed, in terms of expected developments, as well as possible directions toward the realization of the vision of fully functional, engineered tissues, and organs. Last, a few hypothetical scenarios for the role 3D bioprinting may play in future tissue engineering are depicted, with an emphasis on its impact on tomorrow's regenerative medicine.	3D Tissue and Organ Printing-Hope and Reality.	2021	May	Shapira Assaf;Dvir Tal	3D printing;bioinks;biomaterials;cells;tissue engineering	Animals;Biocompatible Materials;Bioprinting;Humans;Printing, Three-Dimensional;Regenerative Medicine;Tissue Engineering;Tissue Scaffolds	Advanced science (Weinheim, Baden-Wurttemberg, Germany)	Shmunis School of Biomedicine and Cancer Research Faculty of Life Sciences Tel Aviv University Tel Aviv 6997801 Israel.;Shmunis School of Biomedicine and Cancer Research Faculty of Life Sciences Tel Aviv University Tel Aviv 6997801 Israel.;Department of Materials Science and Engineering Faculty of Engineering Tel Aviv University Tel Aviv 6997801 Israel.;The Center for Nanoscience and Nanotechnology Tel Aviv University Tel Aviv 6997801 Israel.;Sagol Center for Regenerative Biotechnology Tel Aviv University Tel Aviv 6997801 Israel.	European Research Council		
33945130	Facial reconstruction is employed in medical science and archaeology. Though quite popular as anthropological method, it has not so far been used in the orthodox ecclesiastical tradition. This work presents the facial reconstruction of St Eftychios of Crete, who lived between the ninth and tenth centuries. Computed tomography and reverse engineering methods were employed to complete the task. Reconstruction of the mandible and the missing left zygomatic arch was implemented following the Sassouni method. The American method was followed for the soft tissues, with clay deposition of appropriate thickness, on the surface of the skull model. The eyes, nose, and lips were added based on the dimensions of the underlying bone structures. Long hair and beard were added, according to the classic Byzantine tradition pattern of the time period. The final bust developed was then digitized, using a 3D non-contact laser scanner. The 3D geometry produced was employed to produce a mold with vacuum casting techniques. This mold provides the ability to produce copies of the bust, if needed. At the same time, a realistic 3D representation of the Saint's bust was developed, with the aid of special software, in order to compare the traditional forensic reconstruction to the pure digital one. This work is the first case of a Saint's facial reconstruction in the Orthodox Church. The facial reconstruction process, with all the limitations considered, offers the ability to present a realistic aspect of a Greek Orthodox Church Saint, in a form that is easily accessible. Both physical and digital facial reconstruction processes were based on scientific data, so they were as accurate as possible, considering that the mandible was missing in the skull. The facial reconstruction was entirely implemented in Greece creating the basis for similar work in the future. The final bust developed was donated to the Odigitria Monastery, to be exhibited to its visitors.	Forensic Recreation and Visual Representation of Greek Orthodox Church Saint Eftychios of Crete.	2021		Vidakis Nectarios;Petousis Markos;Nathena Despoina;Kranioti Elena F;Manios Andreas	3D printing;American method;Facial reconstruction;Forensic science;Reverse engineering;Sassuni method	Face;Forensic Medicine;Greece;Recreation;Skull	Advances in experimental medicine and biology	Mechanical Engineering Department, Hellenic Mediterranean University, Heraklion, Greece.;Mechanical Engineering Department, Hellenic Mediterranean University, Heraklion, Greece.;Forensic Medicine Unit, Department of Forensic Sciences, University of Crete, Heraklion, Greece.;Forensic Medicine Unit, Department of Forensic Sciences, University of Crete, Heraklion, Greece. ekranioti@uoc.gr.;Plastic Surgery Unit, Surgical Oncology Clinic, General University Hospital of Heraklion, Heraklion, Greece.		Heraklion, Greece, Greece;Forensic Medicine Unit, Department of Forensic Sciences, Greece;University of Crete, Heraklion, Greece;General University Hospital of Heraklion, Heraklion, Greece;Plastic Surgery Unit, Surgical Oncology Clinic, Greece;Mechanical Engineering Department, Hellenic Mediterranean University, Greece	ekranioti@uoc.gr
33931253	The combination of 3D printing and synthetic biology is a sustainable strategy to fabricate biological objects and systems that behave in a preprogrammed manner. Many microorganisms have been genetically engineered as cell factories for the biosynthesis of chemicals using fermentation, and 3D printing of living materials using these cells could lead to a new paradigm for biomanufacturing.	Emerging Applications of 3D Printing in Biomanufacturing.	2021	Nov	Gao Hao;Zhang Wenming;Yu Ziyi;Xin Fengxue;Jiang Min	3D printing;biological fermentation;living material	Fermentation;Printing, Three-Dimensional;Synthetic Biology	Trends in biotechnology	College of Biotechnology and Pharmaceutical Engineering, State Key Laboratory of Materials-Oriented Chemical Engineering, Nanjing Tech University, Nanjing 211816, PR China.;College of Biotechnology and Pharmaceutical Engineering, State Key Laboratory of Materials-Oriented Chemical Engineering, Nanjing Tech University, Nanjing 211816, PR China; Jiangsu National Synergetic Innovation Center for Advanced Materials (SICAM), Nanjing Tech University, Nanjing 211816, PR China.;College of Chemical Engineering, State Key Laboratory of Materials-Oriented Chemical Engineering, Nanjing Tech University, Nanjing 211816, PR China. Electronic address: ziyi.yu@njtech.edu.cn.;College of Biotechnology and Pharmaceutical Engineering, State Key Laboratory of Materials-Oriented Chemical Engineering, Nanjing Tech University, Nanjing 211816, PR China; Jiangsu National Synergetic Innovation Center for Advanced Materials (SICAM), Nanjing Tech University, Nanjing 211816, PR China. Electronic address: xinfengxue@njtech.edu.cn.;College of Biotechnology and Pharmaceutical Engineering, State Key Laboratory of Materials-Oriented Chemical Engineering, Nanjing Tech University, Nanjing 211816, PR China; Jiangsu National Synergetic Innovation Center for Advanced Materials (SICAM), Nanjing Tech University, Nanjing 211816, PR China.		College of Biotechnology and Pharmaceutical Engineering, State Key Laboratory of Materials, China;Oriented Chemical Engineering, Nanjing Tech University, China;Nanjing Tech University, Nanjing, China;College of Chemical Engineering, State Key Laboratory of Materials, China	xinfengxue@njtech.edu.cn;ziyi.yu@njtech.edu.cn
33929771	Light guiding and manipulation in photonics have become ubiquitous in events ranging from everyday communications to complex robotics and nanomedicine. The speed and sensitivity of light-matter interactions offer unprecedented advantages in biomedical optics, data transmission, photomedicine, and detection of multi-scale phenomena. Recently, hydrogels have emerged as a promising candidate for interfacing photonics and bioengineering by combining their light-guiding properties with live tissue compatibility in optical, chemical, physiological, and mechanical dimensions. Herein, the latest progress over hydrogel photonics and its applications in guidance and manipulation of light is reviewed. Physics of guiding light through hydrogels and living tissues, and existing technical challenges in translating these tools into biomedical settings are discussed. A comprehensive and thorough overview of materials, fabrication protocols, and design architectures used in hydrogel photonics is provided. Finally, recent examples of applying structures such as hydrogel optical fibers, living photonic constructs, and their use as light-driven hydrogel robots, photomedicine tools, and organ-on-a-chip models are described. By providing a critical and selective evaluation of the field's status, this work sets a foundation for the next generation of hydrogel photonic research.	Engineering Hydrogel-Based Biomedical Photonics: Design, Fabrication, and Applications.	2021	Jun	Guimarães Carlos F;Ahmed Rajib;Marques Alexandra P;Reis Rui L;Demirci Utkan	3D printing;hydrogel photonics;light-driven robots;multi-responsive hydrogels;optical sensing;organ-on-chip;photomedicine	Animals;Biocompatible Materials;Cell Culture Techniques;Drug Delivery Systems;Elastic Tissue;Equipment and Supplies;Humans;Hydrogels;Optics and Photonics;Printing, Three-Dimensional;Surface Properties;Tissue Engineering	Advanced materials (Deerfield Beach, Fla.)	3B's Research Group - Research Institute on Biomaterials, Biodegradables and Biomimetics, University of Minho, Headquarters of the European Institute of Excellence on Tissue Engineering and Regenerative Medicine, Guimarães, Portugal.;ICVS/3B's - Portuguese Government Associate Laboratory, University of Minho, Braga, Guimarães, Portugal.;Bio-Acoustic MEMS in Medicine (BAMM) Laboratory, Canary Center at Stanford for Cancer Early Detection Department of Radiology, Stanford School of Medicine, Palo Alto, CA, 94304, USA.;Bio-Acoustic MEMS in Medicine (BAMM) Laboratory, Canary Center at Stanford for Cancer Early Detection Department of Radiology, Stanford School of Medicine, Palo Alto, CA, 94304, USA.;3B's Research Group - Research Institute on Biomaterials, Biodegradables and Biomimetics, University of Minho, Headquarters of the European Institute of Excellence on Tissue Engineering and Regenerative Medicine, Guimarães, Portugal.;ICVS/3B's - Portuguese Government Associate Laboratory, University of Minho, Braga, Guimarães, Portugal.;3B's Research Group - Research Institute on Biomaterials, Biodegradables and Biomimetics, University of Minho, Headquarters of the European Institute of Excellence on Tissue Engineering and Regenerative Medicine, Guimarães, Portugal.;ICVS/3B's - Portuguese Government Associate Laboratory, University of Minho, Braga, Guimarães, Portugal.;Bio-Acoustic MEMS in Medicine (BAMM) Laboratory, Canary Center at Stanford for Cancer Early Detection Department of Radiology, Stanford School of Medicine, Palo Alto, CA, 94304, USA.	NIDCR NIH HHS;NIAID NIH HHS;FDA HHS;NCATS NIH HHS;Fundação para a Ciência e Tecnologia;Stanford Clinical and Translational Science Award;Stanford RISE COVID-19 Crisis Response Faculty Seed Grant Program;NIH HHS;NIBIB NIH HHS;Fundação Luso-Americana para o Desenvolvimento	Laboratory, Canary Center at Stanford for Cancer Early Detection Department of Radiology, Portugal;CA, , Portugal;University of Minho, Headquarters of the European Institute of Excellence on Tissue Engineering and Regenerative Medicine, Portugal;Stanford School of Medicine, Palo Alto, Portugal;Research Institute on Biomaterials, Biodegradables and Biomimetics, Portugal;es, Portugal, Portugal;Braga, Guimar, Portugal;Portuguese Government Associate Laboratory, University of Minho, Portugal	
33922883	Electromechanical sensing devices, based on resins doped with carbon nanotubes, were developed by digital light processing (DLP) 3D printing technology in order to increase design freedom and identify new future and innovative applications. The analysis of electromechanical properties was carried out on specific sensors manufactured by DLP 3D printing technology with complex geometries: a spring, a three-column device and a footstep-sensing platform based on the three-column device. All of them show a great sensitivity of the measured electrical resistance to the applied load and high cyclic reproducibility, demonstrating their versatility and applicability to be implemented in numerous items in our daily lives or in industrial devices. Different types of carbon nanotubes-single-walled, double-walled and multi-walled CNTs (SWCNTs, DWCNTs, MWCNTs)-were used to evaluate the effect of their morphology on electrical and electromechanical performance. SWCNT- and DWCNT-doped nanocomposites presented a higher Tg compared with MWCNT-doped nanocomposites due to a lower UV light shielding effect. This phenomenon also justifies the decrease of nanocomposite Tg with the increase of CNT content in every case. The electromechanical analysis reveals that SWCNT- and DWCNT-doped nanocomposites show a higher electromechanical performance than nanocomposites doped with MWCNTs, with a slight increment of strain sensitivity in tensile conditions, but also a significant strain sensitivity gain at bending conditions.	Complex Geometry Strain Sensors Based on 3D Printed Nanocomposites: Spring, Three-Column Device and Footstep-Sensing Platform.	2021	Apr	Cortés Alejandro;Sánchez-Romate Xoan F;Jiménez-Suárez Alberto;Campo Mónica;Esmaeili Ali;Sbarufatti Claudio;Ureña Alejandro;Prolongo Silvia G	3D printing;carbon nanotubes;multifunctional composites;sensing;smart materials		Nanomaterials (Basel, Switzerland)	Materials Science and Engineering Area, Escuela Superior de Ciencias Experimentales y Tecnología, Universidad Rey Juan Carlos, C/Tulipán s/n, 28933 Móstoles, Madrid, Spain.;Materials Science and Engineering Area, Escuela Superior de Ciencias Experimentales y Tecnología, Universidad Rey Juan Carlos, C/Tulipán s/n, 28933 Móstoles, Madrid, Spain.;Materials Science and Engineering Area, Escuela Superior de Ciencias Experimentales y Tecnología, Universidad Rey Juan Carlos, C/Tulipán s/n, 28933 Móstoles, Madrid, Spain.;Materials Science and Engineering Area, Escuela Superior de Ciencias Experimentales y Tecnología, Universidad Rey Juan Carlos, C/Tulipán s/n, 28933 Móstoles, Madrid, Spain.;Department of Mechanical Engineering, Politecnico di Milano, 20156 Milan, Italy.;Department of Mechanical Engineering, Politecnico di Milano, 20156 Milan, Italy.;Materials Science and Engineering Area, Escuela Superior de Ciencias Experimentales y Tecnología, Universidad Rey Juan Carlos, C/Tulipán s/n, 28933 Móstoles, Madrid, Spain.;Materials Science and Engineering Area, Escuela Superior de Ciencias Experimentales y Tecnología, Universidad Rey Juan Carlos, C/Tulipán s/n, 28933 Móstoles, Madrid, Spain.	Ministerio de Ciencia e Innovación;Comunidad de Madrid	stoles, Madrid, Spain;Milan, Italy, Spain;a, Universidad Rey Juan Carlos, Spain;Materials Science and Engineering Area, Escuela Superior de Ciencias Experimentales y Tecnolog, Spain;n, , Spain;Department of Mechanical Engineering, Politecnico di Milano, Spain	
33911075	Self-healing hydrogels may mimic the behavior of living tissues, which can autonomously repair minor damages, and therefore have a high potential for application in biomedicine. So far, such hydrogels have been processed only via extrusion-based additive manufacturing technology, limited in freedom of design and resolution. Herein, we present 3D-printed hydrogel with self-healing ability, fabricated using only commercially available materials and a commercial Digital Light Processing printer. These hydrogels are based on a semi-interpenetrated polymeric network, enabling self-repair of the printed objects. The autonomous restoration occurs rapidly, at room temperature, and without any external trigger. After rejoining, the samples can withstand deformation and recovered 72% of their initial strength after 12 hours. The proposed approach enables 3D printing of self-healing hydrogels objects with complex architecture, paving the way for future applications in diverse fields, ranging from soft robotics to energy storage.	3D-printed self-healing hydrogels via Digital Light Processing.	2021	Apr	Caprioli Matteo;Roppolo Ignazio;Chiappone Annalisa;Larush Liraz;Pirri Candido Fabrizio;Magdassi Shlomo		Guided Tissue Regeneration;Humans;Hydrogels;Polymers;Printing, Three-Dimensional	Nature communications	Department of Applied Science and Technology, Politecnico di Torino, Turin, Italy.;Casali Center for Applied Chemistry, Institute of Chemistry, The Hebrew University of Jerusalem, Edmond J. Safra Campus - Givat Ram, Jerusalem, Israel.;Department of Applied Science and Technology, Politecnico di Torino, Turin, Italy. ignazio.roppolo@polito.it.;Department of Applied Science and Technology, Politecnico di Torino, Turin, Italy.;Casali Center for Applied Chemistry, Institute of Chemistry, The Hebrew University of Jerusalem, Edmond J. Safra Campus - Givat Ram, Jerusalem, Israel.;Department of Applied Science and Technology, Politecnico di Torino, Turin, Italy.;Istituto Italiano di Tecnologia, Center for Sustainable Future Technologies, Turin, Italy.;Casali Center for Applied Chemistry, Institute of Chemistry, The Hebrew University of Jerusalem, Edmond J. Safra Campus - Givat Ram, Jerusalem, Israel. magdassi@mail.huji.ac.il.		Givat Ram, Jerusalem, Israel;The Hebrew University of Jerusalem, Edmond J, Israel;Istituto Italiano di Tecnologia, Center for Sustainable Future Technologies, Israel;Casali Center for Applied Chemistry, Institute of Chemistry, Israel;Department of Applied Science and Technology, Politecnico di Torino, Israel;Turin, Italy, Israel	magdassi@mail.huji.ac.il;ignazio.roppolo@polito.it
33898187	Dynamic and reversible assembly of molecules is ubiquitous in the hierarchical superstructures of living systems and plays a key role in cellular functions. Recent work from the laboratory reported on the reversible formation of such superstructures in systems of peptide amphiphiles conjugated to oligonucleotides and electrostatically complimentary peptide sequences. Here, a supramolecular system is reported upon where exchange dynamics and host-guest interactions between β-cyclodextrin and adamantane on peptide amphiphiles lead to superstructure formation. Superstructure formation with bundled nanoribbons generates a mechanically robust hydrogel with a highly porous architecture that can be 3D printed. Functionalization of the porous superstructured material with a biological signal results in a matrix with significant in vitro bioactivity toward neurons that could be used as a supramolecular model to design novel biomaterials.	Superstructured Biomaterials Formed by Exchange Dynamics and Host-Guest Interactions in Supramolecular Polymers.	2021	Apr	Edelbrock Alexandra N;Clemons Tristan D;Chin Stacey M;Roan Joshua J W;Bruckner Eric P;Álvarez Zaida;Edelbrock Jack F;Wek Kristen S;Stupp Samuel I	3D printing;adamantane;biomaterials;cyclodextrin;host–guest;peptide amphiphile;superstructure		Advanced science (Weinheim, Baden-Wurttemberg, Germany)	Department of Biomedical Engineering Northwestern University Evanston IL 60208 USA.;Simpson Querrey Institute Northwestern University Chicago IL 60611 USA.;Simpson Querrey Institute Northwestern University Chicago IL 60611 USA.;Department of Chemistry Northwestern University Evanston IL 60208 USA.;Department of Chemistry Northwestern University Evanston IL 60208 USA.;Department of Materials Science and Engineering Northwestern University Evanston IL 60208 USA.;Department of Materials Science and Engineering Northwestern University Evanston IL 60208 USA.;Simpson Querrey Institute Northwestern University Chicago IL 60611 USA.;Department of Medicine Northwestern University Chicago IL 60611 USA.;Simpson Querrey Institute Northwestern University Chicago IL 60611 USA.;Department of Materials Science and Engineering Northwestern University Evanston IL 60208 USA.;Department of Medicine Northwestern University Chicago IL 60611 USA.;Department of Materials Science and Engineering Northwestern University Evanston IL 60208 USA.;Department of Biomedical Engineering Northwestern University Evanston IL 60208 USA.;Simpson Querrey Institute Northwestern University Chicago IL 60611 USA.;Department of Chemistry Northwestern University Evanston IL 60208 USA.;Department of Materials Science and Engineering Northwestern University Evanston IL 60208 USA.;Department of Medicine Northwestern University Chicago IL 60611 USA.			
33882674	Additive manufacturing technologies have progressed in the past decades, especially when used to print biofunctional structures such as scaffolds and vessels with living cells for tissue engineering applications. Part quality and reliability are essential to maintaining the biocompatibility and structural integrity needed for engineered tissue constructs. As a result, it is critical to detect for any anomalies that may occur in the 3D-bioprinting process that can cause a mismatch between the desired designs and printed shapes. However, challenges exist in detecting the imperfections within oftentimes transparent bioprinted and complex printing features accurately and efficiently. In this study, an anomaly detection system based on layer-by-layer sensor images and machine learning algorithms is developed to distinguish and classify imperfections for transparent hydrogel-based bioprinted materials. High anomaly detection accuracy is obtained by utilizing convolutional neural network methods as well as advanced image processing and augmentation techniques on extracted small image patches. Along with the prediction of various anomalies, the category of infill pattern and location information on the image patches can be accurately determined. It is envisioned that using our detection system to categorize and localize printing anomalies, real-time autonomous correction of process parameters can be realized to achieve high-quality tissue constructs in 3D-bioprinting processes.	Monitoring Anomalies in 3D Bioprinting with Deep Neural Networks.	2023	Jul	Jin Zeqing;Zhang Zhizhou;Shao Xianlin;Gu Grace X	3D bioprinting;additive manufacturing;computer vision;convolutional neural networks;machine learning	Bioprinting;Reproducibility of Results;Tissue Engineering;Hydrogels;Neural Networks, Computer	ACS biomaterials science & engineering	Department of Mechanical Engineering, University of California, Berkeley, California 94720, United States.;Department of Mechanical Engineering, University of California, Berkeley, California 94720, United States.;Department of Mechanical Engineering, University of California, Berkeley, California 94720, United States.;Department of Mechanical Engineering, University of California, Berkeley, California 94720, United States.		Berkeley, California, United States;Department of Mechanical Engineering, University of California, United States	
33856745	The last few decades have witnessed diversified in vitro models to recapitulate the architecture and function of living organs or tissues and contribute immensely to advances in life science. Two novel 3D cell culture models: 1) Organoid, promoted mainly by the developments of stem cell biology and 2) Organ-on-a-chip, enhanced primarily due to microfluidic technology, have emerged as two promising approaches to advance the understanding of basic biological principles and clinical treatments. This review describes the comparable distinct differences between these two models and provides more insights into their complementarity and integration to recognize their merits and limitations for applicable fields. The convergence of the two approaches to produce multi-organoid-on-a-chip or human organoid-on-a-chip is emerging as a new approach for building 3D models with higher physiological relevance. Furthermore, rapid advancements in 3D printing and numerical simulations, which facilitate the design, manufacture, and results-translation of 3D cell culture models, can also serve as novel tools to promote the development and propagation of organoid and organ-on-a-chip systems. Current technological challenges and limitations, as well as expert recommendations and future solutions to address the promising combinations by incorporating organoids, organ-on-a-chip, 3D printing, and numerical simulation, are also summarized.	Patient-Specific Organoid and Organ-on-a-Chip: 3D Cell-Culture Meets 3D Printing and Numerical Simulation.	2021	Jun	Zheng Fuyin;Xiao Yuminghao;Liu Hui;Fan Yubo;Dao Ming	3D printing;numerical simulations;organ-on-a-chip;organoids;synergistic engineering	Cell Culture Techniques;Humans;Lab-On-A-Chip Devices;Microfluidics;Organoids;Printing, Three-Dimensional	Advanced biology	Key Laboratory for Biomechanics and Mechanobiology, Beijing Advanced Innovation Center for Biomedical Engineering, School of Biological Science and Medical Engineering, Beihang University, Beijing, 100083, China.;Department of Materials Science and Engineering, Massachusetts Institute of Technology, Cambridge, MA, 02139, USA.;School of Biological Sciences, Nanyang Technological University, Singapore, 639798, Singapore.;Department of Mechanical Engineering, University of Michigan, Ann Arbor, MI, 48109, USA.;Key Laboratory for Biomechanics and Mechanobiology, Beijing Advanced Innovation Center for Biomedical Engineering, School of Biological Science and Medical Engineering, Beihang University, Beijing, 100083, China.;Key Laboratory for Biomechanics and Mechanobiology, Beijing Advanced Innovation Center for Biomedical Engineering, School of Biological Science and Medical Engineering, Beihang University, Beijing, 100083, China.;Department of Materials Science and Engineering, Massachusetts Institute of Technology, Cambridge, MA, 02139, USA.;School of Biological Sciences, Nanyang Technological University, Singapore, 639798, Singapore.	NIBIB NIH HHS;NHLBI NIH HHS	Beijing, , China;Singapore, , China;School of Biological Sciences, Nanyang Technological University, China;Department of Materials Science and Engineering, Massachusetts Institute of Technology, China;School of Biological Science and Medical Engineering, Beihang University, China;Department of Mechanical Engineering, University of Michigan, China;Ann Arbor, MI, China;Key Laboratory for Biomechanics and Mechanobiology, Beijing Advanced Innovation Center for Biomedical Engineering, China;Cambridge, MA, China	
33840503	The medial segment as a mono-segmental graft was proposed to increase the donor pool for pediatric liver transplantation, but to date, there has been no published case. This study aims to revisit the feasibility of procuring the medial segment graft (MSG) by three-dimensional (3D) printing and ex vivo procedures performed on explanted diseased livers to overcome the gap between theory and clinical implementation.	The feasibility of medial segment graft in pediatric liver transplantation revisited by three-dimensional printing.	2021	Jul	Chen Cheng-Yen;Yeh Yi-Ting;Liu Chinsu;Lee Rheun-Chuan;Huang Shan-Su;Loong Che-Chuang	3D printing;Auxiliary partial graft;Liver transplantation;Medial segment graft;Pediatric	Child;Feasibility Studies;Humans;Liver;Liver Transplantation;Living Donors;Printing, Three-Dimensional;Retrospective Studies	Journal of pediatric surgery	Division of Transplantation Surgery, Department of Surgery, Taipei Veterans General Hospital, Taipei, Taiwan; Institute of Public Health, National Yang Ming Chiao Tung University, Taipei, Taiwan; School of Medicine, National Yang Ming Chiao Tung University, Taipei, Taiwan.;Division of Pediatric Surgery, Department of Surgery, Taipei Veterans General Hospital, Taipei, Taiwan; School of Medicine, National Yang Ming Chiao Tung University, Taipei, Taiwan.;Division of Pediatric Surgery, Department of Surgery, Taipei Veterans General Hospital, Taipei, Taiwan; School of Medicine, National Yang Ming Chiao Tung University, Taipei, Taiwan. Electronic address: csliu@vghtpe.gov.tw.;Department of Radiology, Taipei Veterans General Hospital, Taipei, Taiwan; School of Medicine, National Yang Ming Chiao Tung University, Taipei, Taiwan.;Department of Radiology, Taipei Veterans General Hospital, Taipei, Taiwan.;Division of Transplantation Surgery, Department of Surgery, Taipei Veterans General Hospital, Taipei, Taiwan; School of Medicine, National Yang Ming Chiao Tung University, Taipei, Taiwan.		Institute of Public Health, National Yang Ming Chiao Tung University, Taiwan;Division of Transplantation Surgery, Department of Surgery, Taiwan;Taipei, Taiwan, Taiwan;Department of Radiology, Taipei Veterans General Hospital, Taiwan;Division of Pediatric Surgery, Department of Surgery, Taiwan;School of Medicine, National Yang Ming Chiao Tung University, Taiwan;Taipei Veterans General Hospital, Taipei, Taiwan	csliu@vghtpe.gov.tw
